Date,Close
08/12/2025,13.955
09/12/2025,13.815
10/12/2025,13.7975
11/12/2025,13.905
12/12/2025,13.805
15/12/2025,13.6975
16/12/2025,13.585
17/12/2025,13.76
18/12/2025,13.8375
19/12/2025,13.985
22/12/2025,14.02
23/12/2025,14.13
24/12/2025,14.21
25/12/2025,14.21
26/12/2025,14.21
29/12/2025,14.205
30/12/2025,14.555
31/12/2025,14.52
01/01/2026,14.52
02/01/2026,14.5875
05/01/2026,14.85
06/01/2026,15.3875
07/01/2026,15.0825
08/01/2026,14.895
09/01/2026,15.18
12/01/2026,15.3625
13/01/2026,15.3675
14/01/2026,15.66
15/01/2026,15.66
16/01/2026,15.2375
19/01/2026,15.3475
20/01/2026,15.0525
21/01/2026,15.1375
22/01/2026,15.135
23/01/2026,15.3725
26/01/2026,15.305
27/01/2026,15.10750008
